Location,1900s,2025,2100
"Abbotsford, British Columbia, Canada",CMB2,CMA1,CMA2
"Abuja, Nigeria",AWA2,AWZ1,AWZ1
"Accra, Ghana",ASA2,ASA2,ASZ1
"Adak, Alaska, United States",CB1,CHB1,CHB2
"Adamstown, Pitcairn Islands",AHA1,BHA1,BGA1
"Addis Ababa, Ethiopia",BWB2,BWA1,AGA1
"Aksu City, China",DDA1,DDA2,CDZ1
"Albany, New York, United States",DHA1,DHA1,CGZ1
"Algiers, Algeria",BMA1,BMA2,BDZ1
"Alofi, Niue",AHA2,AHA1,AHA2
"Amherst, Nova Scotia, Canada",DHB2,DHA1,CHA2
"Amman, Jordan",CDA1,CDA2,BDZ1
"Amsterdam, Netherlands",CHB2,CGB2,CMA1
"Anchorage, Alaska, United States",DB1,DGB2,CGA1
"Andorra la Vella, Andorra",DB1,DHB2,CGA1
"Ankara, Turkey",DSA1,CSA1,CDZ1
"Annapolis, Maryland, United States",CHA2,CGA2,CGZ1
"Antananarivo, Madagascar",BWA1,BWA1,AWA2
"Apia, Samoa",AHA2,AHA2,AHZ1
"Arviat, Nunavut, Canada",GB1,FGB1,EGA1
"Ashgabat, Turkmenistan",CDA2,CDZ1,CDZ2
"Asmara, Eritrea",BWB2,BDA1,AWA2
"Astana, Kazakhstan",ESA1,ESA1,DDA2
"Asunción, Paraguay",BGA2,BGA2,ASZ1
"Athens, Greece",CMA2,CMA2,BDZ1
"Atlanta, Georgia, United States",CHA2,CGA2,BGZ1
"Augusta, Maine, United States",DHA1,DHA1,CHA2
"Austin, Texas, United States",CSA2,BSZ1,BSZ2
"Avarua, Cook Islands",AHA2,BHA1,BHA1
"Badger, Alaska, United States",FB2,FSB2,DSA1
"Baghdad, Iraq",CDZ1,BDZ2,BDX1
"Baker Lake, Nunavut, Canada",GB1,FGB1,ESA1
"Baku, Azerbaijan",CDA2,CDA2,CDZ2
"Baltimore, Maryland, United States",CHA2,CGA2,CGZ1
"Bamako, Mali",AWZ1,AWZ1,ZDZ2
"Bandar Seri Begawan, Brunei",AHA2,AHA2,ZHZ1
"Bangalore, India",ASA2,ASA2,ASZ1
"Bangkok, Thailand",ASZ1,ASZ1,ZSZ2
"Bangui, Central African Republic",AGA2,AGA2,ASZ1
